iter	Passed	Remaining
216	890	11414
217	892	11385
218	894	11357
219	896	11326
220	898	11293
221	900	11266
222	902	11235
223	903	11199
224	906	11174
225	908	11154
226	910	11122
227	912	11095
228	914	11066
229	916	11038
230	919	11017
231	920	10987
232	922	10960
233	924	10932
234	926	10904
235	929	10889
236	933	10880
237	935	10858
238	937	10831
239	939	10806
240	942	10787
241	944	10761
242	948	10759
243	950	10741
244	953	10718
245	955	10696
246	957	10669
247	959	10650
248	962	10630
249	964	10606
250	966	10585
251	969	10568
252	972	10562
253	975	10544
254	977	10525
255	979	10502
256	981	10475
257	983	10454
258	985	10433
259	989	10423
260	991	10405
261	993	10382
262	996	10365
263	999	10358
264	1001	10332
265	1003	10312
266	1005	10292
267	1007	10271
268	1010	10258
269	1012	10239
270	1014	10217
271	1016	10198
272	1019	10182
273	1021	10164
274	1023	10142
275	1025	10122
276	1028	10111
277	1030	10088
278	1031	10064
279	1033	10041
280	1035	10022
281	1037	10002
282	1039	9978
283	1042	9965
284	1043	9943
285	1046	9929
286	1048	9910
287	1050	9888
288	1052	9874
289	1055	9859
290	1057	9845
291	1059	9823
292	1061	9805
293	1063	9784
294	1065	9769
295	1067	9756
296	1069	9737
297	1072	9720
298	1073	9700
299	1075	9681
300	1077	9665
301	1080	9650
302	1082	9636
303	1085	9628
304	1087	9610
305	1089	9593
306	1091	9571
307	1092	9550
308	1095	9540
309	1097	9522
310	1098	9501
311	1100	9482
312	1102	9465
313	1104	9451
314	1107	9436
315	1109	9420
316	1111	9408
317	1113	9394
318	1115	9379
319	1117	9359
320	1119	9345
321	1121	9328
322	1123	9310
323	1124	9291
324	1126	9274
325	1129	9261
326	1130	9243
327	1132	9228
328	1134	9211
329	1136	9195
330	1138	9183
331	1141	9171
332	1143	9158
333	1145	9143
334	1147	9128
335	1148	9109
336	1151	9095
337	1152	9077
338	1154	9063
339	1156	9048
340	1158	9036
341	1161	9024
342	1167	9044
343	1168	9025
344	1170	9010
345	1173	9000
346	1175	8985
347	1177	8969
348	1179	8956
349	1181	8942
350	1182	8926
351	1185	8915
352	1187	8901
353	1188	8882
354	1190	8868
355	1193	8862
356	1195	8848
357	1196	8831
358	1199	8821
359	1202	8816
360	1203	8798
361	1207	8796
362	1209	8785
363	1210	8769
364	1213	8759
365	1216	8757
366	1218	8745
367	1221	8739
368	1224	8728
369	1226	8714
370	1228	8706
371	1231	8698
372	1233	8686
373	1235	8673
374	1237	8661
375	1239	8651
376	1241	8638
377	1244	8629
378	1245	8616
379	1249	8613
380	1252	8609
381	1254	8599
382	1257	8589
383	1258	8575
384	1260	8561
385	1262	8550
386	1264	8535
387	1265	8521
388	1267	8508
389	1269	8495
390	1271	8484
391	1273	8472
392	1275	8458
393	1276	8445
394	1278	8434
395	1280	8419
396	1283	8413
397	1284	8399
398	1286	8389
399	1289	8384
400	1291	8373
401	1293	8362
402	1295	8346
403	1297	8338
404	1300	8331
405	1302	8319
406	1304	8308
407	1306	8296
408	1307	8285
409	1310	8278
410	1312	8266
411	1313	8253
412	1316	8245
413	1318	8235
414	1320	8222
415	1322	8215
416	1324	8205
417	1326	8193
418	1329	8190
419	1332	8183
420	1333	8170
421	1336	8166
422	1338	8156
423	1340	8146
424	1343	8139
425	1345	8129
426	1347	8116
427	1348	8106
428	1351	8100
429	1353	8089
430	1355	8079
431	1358	8074
432	1360	8066
433	1363	8060
434	1366	8058
435	1368	8045
436	1370	8035
437	1372	8027
438	1375	8025
439	1377	8014
440	1380	8011
441	1383	8005
442	1385	7994
443	1387	7987
444	1389	7978
445	1392	7974
446	1394	7964
447	1397	7961
448	1400	7955
449	1401	7943
450	1405	7942
451	1407	7934
452	1409	7924
453	1411	7917
454	1414	7909
455	1416	7899
456	1418	7895
457	1421	7890
458	1423	7882
459	1426	7874
460	1428	7867
461	1430	7859
462	1432	7850
463	1435	7843
464	1437	7835
465	1440	7831
466	1442	7825
467	1445	7819
468	1447	7810
469	1449	7804
470	1451	7793
471	1453	7782
472	1455	7774
473	1457	7766
474	1459	7760
475	1462	7753
476	1464	7745
477	1466	7738
478	1469	7732
479	1471	7724
480	1474	7720
481	1476	7711
482	1477	7700
483	1479	7689
484	1480	7677
485	1481	7665
486	1483	7657
487	1486	7651
488	1488	7643
489	1490	7633
490	1492	7626
491	1494	7616
492	1496	7607
493	1497	7597
494	1500	7592
495	1502	7583
496	1503	7572
497	1505	7563
498	1507	7557
499	1509	7549
500	1512	7543
501	1514	7534
502	1515	7524
503	1520	7527
504	1521	7517
505	1524	7514
506	1527	7511
507	1531	7510
508	1534	7509
509	1535	7497
510	1537	7489
511	1540	7487
512	1544	7488
513	1548	7489
514	1551	7485
515	1553	7477
516	1555	7468
517	1557	7463
518	1560	7458
519	1562	7450
520	1566	7455
521	1568	7447
522	1571	7442
523	1576	7447
524	1578	7440
525	1580	7434
526	1583	7430
527	1587	7432
528	1590	7431
529	1593	7425
530	1595	7416
531	1596	7406
532	1598	7400
533	1603	7402
534	1606	7403
535	1611	7406
536	1613	7402
537	1617	7400
538	1621	7403
539	1625	7404
540	1628	7403
541	1632	7402
542	1637	7407
543	1640	7407
544	1643	7404
545	1645	7395
546	1647	7386
547	1649	7380
548	1651	7372
549	1653	7365
550	1655	7359
551	1657	7350
552	1659	7342
553	1660	7332
554	1662	7325
555	1664	7317
556	1667	7311
557	1668	7302
558	1670	7292
559	1672	7285
560	1673	7277
561	1675	7268
562	1676	7259
563	1678	7249
564	1680	7241
565	1682	7235
566	1685	7231
567	1687	7223
568	1689	7219
569	1691	7212
570	1694	7206
571	1696	7201
572	1698	7194
573	1701	7189
574	1703	7184
575	1706	7183
576	1709	7179
577	1711	7170
578	1712	7162
579	1714	7155
580	1717	7149
581	1719	7142
582	1721	7136
583	1722	7127
584	1724	7120
585	1726	7111
586	1728	7105
587	1730	7099
588	1734	7099
589	1738	7099
590	1741	7097
591	1743	7092
592	1747	7092
593	1750	7089
594	1753	7087
595	1757	7087
596	1760	7085
597	1763	7084
598	1767	7086
599	1770	7083
600	1775	7087
601	1780	7093
602	1784	7094
603	1788	7093
604	1790	7086
605	1794	7087
606	1799	7092
607	1803	7094
608	1805	7090
609	1809	7091
610	1813	7090
611	1817	7090
612	1820	7089
613	1823	7086
614	1826	7083
615	1829	7080
616	1833	7080
617	1836	7077
618	1838	7072
619	1842	7072
620	1845	7069
621	1848	7067
622	1850	7062
623	1854	7062
624	1857	7058
625	1858	7049
626	1861	7045
627	1863	7038
628	1865	7030
629	1866	7022
630	1868	7015
631	1870	7009
632	1872	7001
633	1874	6995
634	1876	6988
635	1879	6985
636	1881	6977
637	1882	6970
638	1884	6962
639	1886	6955
640	1888	6950
641	1890	6943
642	1892	6937
643	1894	6931
644	1896	6925
645	1901	6927
646	1904	6924
647	1907	6922
648	1908	6913
649	1913	6918
650	1916	6914
651	1918	6909
652	1922	6908
653	1927	6913
654	1928	6905
655	1934	6911
656	1937	6911
657	1941	6909
658	1944	6906
659	1947	6903
660	1951	6904
661	1955	6906
662	1957	6900
663	1963	6907
664	1966	6906
665	1970	6904
666	1973	6903
667	1977	6903
668	1980	6902
669	1983	6898
670	1986	6894
671	1990	6895
672	1993	6894
673	1997	6893
674	2000	6891
675	2002	6883
676	2004	6877
677	2006	6870
678	2008	6864
679	2010	6857
680	2011	6850
681	2014	6846
682	2018	6846
683	2020	6842
684	2025	6844
685	2027	6840
686	2032	6842
687	2036	6844
688	2040	6844
689	2043	6841
690	2047	6842
691	2051	6843
692	2053	6837
693	2055	6831
694	2057	6823
695	2061	6824
696	2065	6826
697	2069	6824
698	2072	6821
699	2075	6820
700	2079	6818
701	2081	6814
702	2085	6813
703	2088	6811
704	2090	6806
705	2094	6806
706	2098	6805
707	2101	6802
708	2103	6797
709	2108	6800
710	2111	6797
711	2115	6798
712	2118	6794
713	2121	6790
714	2127	6797
715	2129	6792
716	2133	6793
717	2136	6791
718	2140	6790
719	2142	6783
720	2146	6784
721	2148	6780
722	2153	6782
723	2156	6780
724	2161	6782
725	2164	6779
726	2168	6778
727	2170	6774
728	2174	6775
729	2178	6774
730	2181	6770
731	2186	6774
732	2189	6771
733	2191	6764
734	2192	6757
735	2193	6748
736	2195	6740
737	2196	6733
738	2199	6728
739	2201	6722
740	2203	6716
741	2204	6709
742	2206	6702
743	2207	6693
744	2210	6690
745	2212	6684
746	2214	6679
747	2217	6676
748	2219	6670
749	2223	6671
750	2225	6664
751	2227	6659
752	2229	6653
753	2230	6645
754	2232	6639
755	2235	6634
756	2236	6627
757	2238	6620
758	2240	6614
759	2241	6606
760	2243	6599
761	2244	6592
762	2245	6584
763	2247	6576
764	2248	6569
765	2250	6562
766	2251	6555
767	2253	6548
768	2254	6541
769	2256	6535
770	2258	6528
771	2259	6520
772	2260	6512
773	2261	6505
774	2264	6500
775	2265	6493
776	2267	6486
777	2268	6479
778	2270	6473
779	2272	6466
780	2273	6458
781	2276	6455
782	2277	6449
783	2279	6442
784	2280	6436
785	2282	6429
786	2283	6422
787	2285	6416
788	2287	6409
789	2288	6401
790	2289	6394
791	2291	6387
792	2292	6380
793	2293	6373
794	2295	6366
795	2297	6362
796	2299	6356
797	2301	6350
798	2302	6343
799	2304	6336
800	2306	6331
801	2308	6325
802	2309	6318
803	2310	6311
804	2312	6305
805	2313	6298
806	2315	6291
807	2316	6285
808	2318	6278
809	2320	6273
810	2322	6268
811	2324	6262
812	2325	6255
813	2326	6248
814	2327	6240
815	2329	6234
816	2330	6227
817	2332	6220
818	2333	6214
819	2335	6208
820	2337	6202
821	2338	6196
822	2340	6190
823	2342	6185
824	2343	6178
825	2345	6173
826	2347	6167
827	2348	6160
828	2350	6154
829	2351	6148
830	2353	6141
831	2354	6135
832	2356	6129
833	2357	6123
834	2359	6118
835	2362	6114
836	2363	6108
837	2365	6102
838	2366	6095
839	2368	6091
840	2370	6085
841	2372	6081
842	2374	6075
843	2376	6070
844	2378	6065
845	2380	6059
846	2381	6054
847	2384	6049
848	2386	6046
849	2388	6040
850	2389	6034
851	2391	6028
852	2392	6021
853	2393	6014
854	2394	6008
855	2397	6004
856	2398	5997
857	2400	5992
858	2402	5986
859	2403	5980
860	2404	5974
861	2406	5967
862	2407	5961
863	2408	5955
864	2410	5949
865	2412	5944
866	2413	5938
867	2415	5932
868	2416	5926
869	2418	5920
870	2420	5915
871	2421	5909
872	2423	5903
873	2424	5898
874	2426	5891
875	2427	5885
876	2429	5880
877	2430	5875
878	2432	5869
879	2435	5867
880	2438	5864
881	2439	5859
882	2445	5862
883	2448	5860
884	2450	5855
885	2452	5851
886	2457	5855
887	2459	5850
888	2462	5846
889	2471	5860
890	2474	5858
891	2477	5855
892	2479	5849
893	2480	5844
894	2485	5845
895	2488	5842
896	2489	5836
897	2492	5833
898	2494	5829
899	2500	5833
900	2502	5828
901	2504	5824
902	2505	5818
903	2508	5815
904	2510	5811
905	2511	5805
906	2513	5799
907	2514	5794
908	2516	5789
909	2517	5782
910	2519	5776
911	2521	5772
912	2522	5766
913	2523	5760
914	2525	5755
915	2527	5749
916	2528	5743
917	2530	5738
918	2531	5732
919	2533	5726
920	2534	5721
921	2535	5714
922	2537	5709
923	2539	5705
924	2541	5700
925	2542	5694
926	2544	5689
927	2545	5684
928	2547	5678
929	2548	5673
930	2550	5668
931	2552	5663
932	2553	5658
933	2555	5652
934	2557	5647
935	2558	5641
936	2560	5637
937	2561	5631
938	2563	5625
939	2564	5620
940	2566	5615
941	2567	5609
942	2569	5605
943	2571	5599
944	2573	5595
945	2574	5590
946	2576	5585
947	2578	5580
948	2579	5574
949	2580	5569
950	2582	5563
951	2583	5557
952	2585	5552
953	2586	5548
954	2588	5543
955	2590	5538
956	2591	5533
957	2593	5527
958	2594	5521
959	2595	5516
960	2597	5511
961	2599	5507
962	2601	5503
963	2603	5498
964	2605	5493
965	2606	5488
966	2608	5483
967	2610	5479
968	2611	5473
969	2613	5468
970	2614	5463
971	2616	5458
972	2617	5453
973	2619	5448
974	2620	5442
975	2622	5438
976	2623	5432
977	2625	5428
978	2626	5422
979	2628	5417
980	2629	5412
981	2631	5407
982	2633	5404
983	2636	5400
984	2638	5397
985	2641	5396
986	2645	5394
987	2649	5395
988	2652	5393
989	2655	5391
990	2658	5389
991	2661	5388
992	2666	5389
993	2669	5387
994	2671	5383
995	2675	5382
996	2678	5381
997	2681	5379
998	2685	5379
999	2688	5377
1000	2692	5376
1001	2695	5375
1002	2698	5373
1003	2701	5371
1004	2705	5371
1005	2711	5375
1006	2714	5372
1007	2716	5367
1008	2720	5368
1009	2723	5365
1010	2725	5361
1011	2727	5358
1012	2730	5356
1013	2732	5352
1014	2734	5347
1015	2735	5342
1016	2737	5338
1017	2739	5333
1018	2741	5330
1019	2743	5325
1020	2745	5320
1021	2746	5316
1022	2748	5311
1023	2750	5307
1024	2752	5303
1025	2753	5298
1026	2755	5293
1027	2757	5288
1028	2760	5287
1029	2761	5281
1030	2764	5279
1031	2766	5275
1032	2768	5271
1033	2769	5266
1034	2772	5263
1035	2774	5259
1036	2775	5254
1037	2777	5250
1038	2780	5247
1039	2782	5244
1040	2785	5241
1041	2787	5237
1042	2789	5234
1043	2791	5230
1044	2793	5226
1045	2797	5226
1046	2801	5224
1047	2803	5221
1048	2805	5216
1049	2807	5213
1050	2809	5210
1051	2811	5206
1052	2813	5203
1053	2815	5198
1054	2816	5193
1055	2818	5187
1056	2819	5182
1057	2820	5176
1058	2821	5171
1059	2822	5166
1060	2824	5162
1061	2829	5163
1062	2832	5161
1063	2834	5157
1064	2836	5152
1065	2837	5147
1066	2838	5142
1067	2839	5137
1068	2841	5133
1069	2843	5128
1070	2844	5123
1071	2846	5118
1072	2847	5113
1073	2848	5108
1074	2850	5104
1075	2853	5102
1076	2855	5097
1077	2857	5094
1078	2858	5089
1079	2860	5085
1080	2863	5082
1081	2864	5078
1082	2866	5074
1083	2868	5069
1084	2869	5065
1085	2871	5060
1086	2872	5056
1087	2874	5052
1088	2876	5047
1089	2877	5042
1090	2880	5039
1091	2882	5035
1092	2883	5031
1093	2885	5026
1094	2886	5022
1095	2888	5018
1096	2890	5013
1097	2891	5009
1098	2893	5004
1099	2894	5000
1100	2896	4995
1101	2897	4990
1102	2899	4987
1103	2901	4982
1104	2904	4980
1105	2906	4976
1106	2908	4974
1107	2911	4971
1108	2915	4971
1109	2919	4970
1110	2922	4969
1111	2926	4969
1112	2929	4967
1113	2933	4966
1114	2936	4964
1115	2939	4961
1116	2941	4958
1117	2942	4953
1118	2944	4950
1119	2946	4946
1120	2948	4941
1121	2950	4938
1122	2952	4934
1123	2954	4930
1124	2956	4928
1125	2958	4923
1126	2960	4919
1127	2962	4917
1128	2964	4912
1129	2966	4909
1130	2967	4904
1131	2969	4900
1132	2971	4896
1133	2973	4892
1134	2974	4887
1135	2976	4884
1136	2978	4880
1137	2980	4877
1138	2982	4872
1139	2983	4868
1140	2985	4864
1141	2988	4861
1142	2990	4858
1143	2991	4853
1144	2993	4849
1145	2996	4847
1146	2997	4842
1147	2999	4838
1148	3000	4834
1149	3002	4829
1150	3004	4825
1151	3005	4821
1152	3007	4817
1153	3009	4814
1154	3011	4810
1155	3012	4805
1156	3014	4801
1157	3016	4798
1158	3018	4794
1159	3019	4790
1160	3021	4786
1161	3023	4782
1162	3025	4778
1163	3027	4774
1164	3029	4771
1165	3030	4767
1166	3033	4763
1167	3034	4760
1168	3036	4755
1169	3038	4751
1170	3041	4749
1171	3042	4746
1172	3044	4741
1173	3045	4737
1174	3048	4734
1175	3050	4730
1176	3051	4726
1177	3053	4722
1178	3055	4718
1179	3057	4715
1180	3058	4711
1181	3060	4707
1182	3062	4703
1183	3064	4699
1184	3066	4696
1185	3067	4692
1186	3069	4688
1187	3071	4684
1188	3072	4680
1189	3075	4677
1190	3077	4673
1191	3079	4671
1192	3081	4667
1193	3083	4663
1194	3085	4659
1195	3088	4658
1196	3089	4654
1197	3091	4650
1198	3093	4646
1199	3095	4642
1200	3096	4638
1201	3098	4635
1202	3100	4631
1203	3101	4627
1204	3103	4623
1205	3106	4621
1206	3108	4617
1207	3109	4613
1208	3111	4609
1209	3113	4605
1210	3114	4601
1211	3116	4597
1212	3117	4593
1213	3131	4607
1214	3133	4604
1215	3136	4602
1216	3139	4599
1217	3141	4596
1218	3144	4594
1219	3147	4591
1220	3149	4589
1221	3153	4587
1222	3169	4604
1223	3172	4603
1224	3174	4599
1225	3176	4595
1226	3177	4591
1227	3179	4588
1228	3181	4584
1229	3183	4580
1230	3185	4577
1231	3187	4573
1232	3191	4573
1233	3194	4571
1234	3197	4569
1235	3201	4568
1236	3204	4567
1237	3208	4566
1238	3212	4565
1239	3215	4564
1240	3220	4564
1241	3224	4564
1242	3226	4561
1243	3231	4560
1244	3234	4559
1245	3238	4559
1246	3243	4559
1247	3246	4557
1248	3249	4555
1249	3253	4554
1250	3257	4553
1251	3261	4554
1252	3265	4553
1253	3268	4551
1254	3272	4550
1255	3277	4551
1256	3281	4549
1257	3285	4549
1258	3287	4546
1259	3290	4543
1260	3292	4540
1261	3295	4538
1262	3298	4536
1263	3300	4533
1264	3304	4532
1265	3307	4530
1266	3311	4529
1267	3315	4528
1268	3318	4526
1269	3322	4525
1270	3324	4522
1271	3329	4522
1272	3332	4520
1273	3335	4518
1274	3338	4516
1275	3341	4515
1276	3346	4514
1277	3349	4513
1278	3353	4512
1279	3356	4509
1280	3360	4509
1281	3363	4507
1282	3367	4506
1283	3371	4505
1284	3375	4505
1285	3378	4503
1286	3384	4504
1287	3386	4500
1288	3390	4500
1289	3394	4499
1290	3396	4496
1291	3399	4493
1292	3404	4494
1293	3407	4491
1294	3409	4488
1295	3411	4485
1296	3414	4483
1297	3417	4481
1298	3419	4477
1299	3422	4476
1300	3424	4472
1301	3428	4471
1302	3432	4469
1303	3435	4468
1304	3439	4466
1305	3440	4462
1306	3445	4463
1307	3447	4460
1308	3451	4458
1309	3454	4456
1310	3457	4454
1311	3462	4454
1312	3463	4449
1313	3467	4448
1314	3471	4447
1315	3474	4445
1316	3479	4446
1317	3482	4443
1318	3486	4443
1319	3489	4441
1320	3492	4439
1321	3495	4436
1322	3498	4434
1323	3500	4431
1324	3503	4428
1325	3506	4427
1326	3511	4427
1327	3514	4424
1328	3518	4423
1329	3524	4425
1330	3526	4422
1331	3532	4422
1332	3536	4422
1333	3539	4419
1334	3542	4417
1335	3545	4415
1336	3548	4413
1337	3551	4411
1338	3553	4408
1339	3557	4407
1340	3560	4404
1341	3563	4402
1342	3568	4402
1343	3571	4401
1344	3575	4399
1345	3577	4396
1346	3581	4394
1347	3584	4392
1348	3586	4389
1349	3589	4387
1350	3593	4385
1351	3597	4384
1352	3599	4381
1353	3602	4379
1354	3606	4378
1355	3610	4377
1356	3613	4374
1357	3616	4372
1358	3620	4371
1359	3622	4368
1360	3625	4365
1361	3628	4363
1362	3634	4364
1363	3641	4367
1364	3648	4369
1365	3652	4368
1366	3653	4364
1367	3659	4366
1368	3663	4365
1369	3666	4362
1370	3670	4360
1371	3674	4359
1372	3677	4357
1373	3680	4355
1374	3683	4352
1375	3686	4350
1376	3689	4348
1377	3693	4346
1378	3696	4345
1379	3699	4343
1380	3702	4340
1381	3703	4336
1382	3704	4331
1383	3707	4329
1384	3712	4328
1385	3721	4333
1386	3723	4330
1387	3725	4327
1388	3729	4325
1389	3732	4323
1390	3737	4322
1391	3738	4318
1392	3743	4318
1393	3746	4316
1394	3749	4314
1395	3752	4311
1396	3755	4308
1397	3759	4307
1398	3763	4307
1399	3766	4304
1400	3770	4303
1401	3773	4300
1402	3776	4298
1403	3779	4296
1404	3784	4296
1405	3786	4292
1406	3789	4290
1407	3793	4289
1408	3795	4285
1409	3799	4284
1410	3803	4283
1411	3806	4281
1412	3810	4279
1413	3812	4276
1414	3815	4274
1415	3818	4271
1416	3820	4268
1417	3823	4265
1418	3826	4263
1419	3829	4261
1420	3833	4259
1421	3835	4256
1422	3838	4253
1423	3841	4251
1424	3844	4249
1425	3847	4247
1426	3851	4245
1427	3853	4242
1428	3857	4240
1429	3861	4239
1430	3865	4238
1431	3867	4235
1432	3869	4231
1433	3872	4228
1434	3875	4226
1435	3877	4223
1436	3880	4220
1437	3882	4217
1438	3886	4215
1439	3888	4212
1440	3890	4209
1441	3893	4207
1442	3895	4203
1443	3899	4201
1444	3902	4199
1445	3905	4196
1446	3908	4194
1447	3912	4193
1448	3914	4189
1449	3919	4189
1450	3921	4186
1451	3925	4184
1452	3927	4181
1453	3930	4178
1454	3933	4177
1455	3937	4175
1456	3940	4173
1457	3944	4171
1458	3945	4167
1459	3947	4163
1460	3948	4159
1461	3951	4156
1462	3953	4153
1463	3955	4149
1464	3957	4146
1465	3958	4142
1466	3961	4139
1467	3965	4137
1468	3967	4135
1469	3970	4132
1470	3972	4129
1471	3976	4127
1472	3978	4124
1473	3982	4122
1474	3984	4119
1475	3988	4118
1476	3991	4116
1477	3995	4114
1478	3999	4113
1479	4002	4110
1480	4003	4106
1481	4009	4107
1482	4012	4104
1483	4015	4102
1484	4018	4099
1485	4021	4097
1486	4024	4095
1487	4028	4093
1488	4031	4091
1489	4033	4087
1490	4037	4086
1491	4040	4083
1492	4043	4081
1493	4046	4079
1494	4049	4076
1495	4052	4074
1496	4057	4073
1497	4059	4070
1498	4062	4067
1499	4064	4064
1500	4067	4061
1501	4069	4058
1502	4070	4054
1503	4072	4050
1504	4089	4062
1505	4090	4058
1506	4092	4054
1507	4094	4050
1508	4095	4046
1509	4097	4043
1510	4106	4046
1511	4107	4042
1512	4109	4038
1513	4111	4035
1514	4113	4031
1515	4116	4030
1516	4120	4027
1517	4123	4025
1518	4127	4024
1519	4131	4022
1520	4135	4021
1521	4138	4018
1522	4140	4015
1523	4143	4013
1524	4146	4010
1525	4150	4008
1526	4153	4007
1527	4156	4004
1528	4160	4002
1529	4162	3999
1530	4165	3997
1531	4168	3994
1532	4172	3992
1533	4175	3990
1534	4177	3986
1535	4178	3983
1536	4183	3982
1537	4186	3979
1538	4189	3977
1539	4193	3975
1540	4194	3971
1541	4198	3969
1542	4200	3965
1543	4201	3962
1544	4203	3958
1545	4205	3955
1546	4206	3951
1547	4209	3948
1548	4210	3944
1549	4213	3941
1550	4215	3938
1551	4217	3934
1552	4219	3931
1553	4221	3928
1554	4222	3923
1555	4224	3920
1556	4226	3917
1557	4228	3913
1558	4230	3910
1559	4232	3907
1560	4234	3903
1561	4237	3900
1562	4238	3896
1563	4239	3892
1564	4241	3888
1565	4242	3885
1566	4243	3880
1567	4246	3878
1568	4248	3874
1569	4250	3871
1570	4251	3867
1571	4254	3864
1572	4255	3860
1573	4258	3857
1574	4259	3854
1575	4261	3850
1576	4263	3847
1577	4265	3843
1578	4267	3840
1579	4269	3837
1580	4272	3834
1581	4274	3831
1582	4276	3828
1583	4278	3824
1584	4280	3821
1585	4282	3817
1586	4284	3814
1587	4286	3811
1588	4288	3808
1589	4289	3804
1590	4291	3800
1591	4292	3796
1592	4293	3792
1593	4296	3789
1594	4316	3802
1595	4318	3798
1596	4319	3794
1597	4326	3796
1598	4328	3792
1599	4330	3789
1600	4331	3785
1601	4333	3781
1602	4334	3777
1603	4336	3774
1604	4339	3771
1605	4341	3768
1606	4343	3765
1607	4346	3762
1608	4349	3759
1609	4352	3757
1610	4353	3753
1611	4355	3750
1612	4356	3746
1613	4358	3743
1614	4361	3740
1615	4363	3737
1616	4365	3733
1617	4367	3730
1618	4370	3727
1619	4373	3725
1620	4375	3722
1621	4377	3719
1622	4379	3716
1623	4381	3712
1624	4383	3709
1625	4384	3705
1626	4386	3701
1627	4388	3698
1628	4390	3695
1629	4392	3691
1630	4395	3689
1631	4397	3686
1632	4398	3682
1633	4401	3679
1634	4402	3675
1635	4404	3672
1636	4405	3668
1637	4407	3664
1638	4408	3661
1639	4411	3658
1640	4412	3654
1641	4415	3651
1642	4416	3648
1643	4419	3645
1644	4422	3643
1645	4424	3639
1646	4426	3636
1647	4427	3632
1648	4430	3629
1649	4432	3626
1650	4434	3623
1651	4436	3620
1652	4439	3617
1653	4441	3614
1654	4443	3611
1655	4445	3607
1656	4447	3604
1657	4449	3601
1658	4451	3598
1659	4453	3595
1660	4456	3592
1661	4458	3589
1662	4459	3585
1663	4461	3582
1664	4463	3578
1665	4465	3575
1666	4467	3572
1667	4470	3569
1668	4472	3566
1669	4473	3563
1670	4475	3559
1671	4478	3556
1672	4479	3553
1673	4481	3550
1674	4483	3546
1675	4485	3543
1676	4488	3541
1677	4491	3538
1678	4493	3535
1679	4495	3532
1680	4497	3528
1681	4498	3525
1682	4500	3521
1683	4503	3519
1684	4504	3515
1685	4506	3512
1686	4509	3509
1687	4510	3506
1688	4512	3502
1689	4514	3499
1690	4516	3496
1691	4518	3492
1692	4519	3488
